year,state,totVotes,demVotes,demPct,demEV,gopVotes,gopPct,gopEV,VEP,VAP,pctNonCit,prison,probation,parole,felon,turntE,turntA,demPres,demVice,gopPres,gopVice,demPresBorn,demViceBorn,gopPresBorn,gopViceBorn,ageAll,age4,age17,age24,age44,age64,ageOld,ageMed,gsp,pop,white,black,native,asian,pacific,mult
2008,Louisiana,1960761,782989,39.9,0,1148275,58.6,9,3205794,3342279,0.02,38381,40025,24636,70712,0.611630379,0.586653897,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,222218,,,,,,,
2008,Maine,731163,421923,57.7,4,295273,40.4,0,1036242,1049816,0.013,0,0,0,0,0.705590972,0.696467762,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,49709,,,,,,,
2008,Maryland,2631596,1629467,61.9,10,959862,36.5,0,3925117,4342850,0.078,23324,96360,13220,78114,0.670450333,0.605960602,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,273333,,,,,,,
2008,Massachusetts,3080985,1904097,61.8,12,1108854,36,0,4612550,5058035,0.086,11408,0,0,11408,0.667956987,0.609126864,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,364988,,,,,,,
2008,Michigan,5001766,2872579,57.4,17,2048639,41,0,7229512,7528460,0.033,48738,0,0,48738,0.69185389,0.664381029,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,382544,,,,,,,
2008,Minnesota,2910369,1573354,54.1,10,1275409,43.8,0,3740142,3975974,0.04,9910,127627,5081,76264,0.778143985,0.731988942,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,262847,,,,,,,
2008,Mississippi,1289865,554662,43,0,724597,56.2,6,2113347,2190402,0.019,22754,22267,2922,35349,0.610342268,0.588871358,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,91782,,,,,,,
2008,Missouri,2925205,1441911,49.3,0,1445814,49.4,11,4327572,4507688,0.025,30186,57360,20683,69208,0.675946004,0.648936883,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,237797,,,,,,,
2008,Montana,490109,231667,47.3,0,242763,49.5,3,741853,755384,0.013,3545,0,0,3545,0.660655143,0.648820997,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,35891,,,,,,,
2008,Nebraska,801281,333319,41.6,1,452979,56.5,4,1274719,1348048,0.043,4520,19606,846,14746,0.628594224,0.594400941,Barack Obama,Joseph Biden,John McCain,Sarah Palin,Hawaii,Pennsylvania,Coco Solo,Idaho,,,,,,,,,83273,,,,,,,
